point,delta,pred_std,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
133,3.137303,0.093076,89.42574,0.445299,-0.609847,1.262421,1.450744,-0.713788,-0.347042
124,3.139673,0.094397,89.428111,0.445299,-0.622961,1.262421,1.450744,-0.713788,-0.347042
172,3.144879,0.097148,89.433316,0.448726,-0.371255,1.297151,1.496184,-1.072543,-0.426531
8,3.145574,0.097477,89.434011,0.448726,-0.371255,1.297151,1.497949,-1.072543,-0.418814
7,3.313427,0.099285,89.601865,0.445258,-0.304734,1.314979,1.499995,0.487004,0.491409
64,3.318927,0.099977,89.607365,0.452813,-0.322701,1.315102,1.499928,0.478451,0.514474
53,3.333872,0.103089,89.622309,0.446359,-0.391682,1.3151,1.499731,0.490469,0.491121
161,3.334252,0.104753,89.622689,0.452288,-0.381166,1.314853,1.498687,0.469681,0.54296
174,3.335443,0.10801,89.623881,0.4504,-0.372005,1.315005,1.498455,0.449372,0.561168
195,3.337594,0.108654,89.626031,0.446359,-0.391682,1.315101,1.499738,0.551098,0.491146
153,3.343588,0.109697,89.632025,0.452867,-0.412321,1.315126,1.499815,0.468746,0.513089
163,3.344417,0.111984,89.632854,0.446359,-0.391682,1.3151,1.499731,0.490618,0.637256
175,3.347381,0.113835,89.635819,0.464424,-0.418243,1.315128,1.498465,0.476713,0.499262
176,3.348889,0.115494,89.637327,0.464424,-0.418243,1.315128,1.499972,0.467366,0.499262
173,3.351809,0.117332,89.640246,0.446359,-0.391682,1.3151,1.499731,0.481613,0.779224
189,3.356554,0.11799,89.644991,0.446359,-0.453165,1.315104,1.499748,0.467307,0.496666
178,3.356995,0.120174,89.645432,0.473272,-0.452667,1.315104,1.486409,0.467307,0.52252
200,3.361291,0.121356,89.649729,0.452813,-0.461423,1.315048,1.499924,0.478451,0.515842
95,3.363517,0.123031,89.651955,0.5129,-0.457955,1.315204,1.499906,0.490469,0.491121
122,3.367002,0.128481,89.65544,0.512554,-0.456879,1.315204,1.499913,0.556494,0.491121
132,3.367022,0.12849,89.65546,0.5129,-0.456879,1.315204,1.499913,0.556494,0.491121
28,3.385549,0.128699,89.673987,0.445022,-0.568136,1.315152,1.499992,0.487004,0.491409
63,3.390944,0.132925,89.679382,0.445258,-0.581868,1.314979,1.499995,0.487004,0.491409
74,3.391562,0.135933,89.68,0.447658,-0.568156,1.315159,1.499999,0.563895,0.519015
