player_id,name,pos,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,game_AVG,game_OBP,game_SLG,game_OPS
642133,Rowdy Tellez,1B,2025-09-01,Arizona Diamondbacks,Texas Rangers,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
677649,Ezequiel Duran,SS,2025-09-02,Arizona Diamondbacks,Texas Rangers,2,1,1,1,1,0,0,0,1,0,0,0,0,1.0,1.0,2.0,3.0
683227,Cody Freeman,3B,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,3,1,1,0,0,0,0,1,0,0,0,0,0.333,0.5,0.333,0.833
641680,Jonah Heim,C,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,3,0,0,0,0,0,1,1,0,0,0,0,0.0,0.25,0.0,0.25
680737,Michael Helman,CF,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,4,1,2,0,1,0,0,0,1,0,0,0,0.5,0.5,1.0,1.5
673962,Josh Jung,3B,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
694671,Wyatt Langford,LF,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,3,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
696030,Alejandro Osuna,LF,2025-09-02,Arizona Diamondbacks,Texas Rangers,2,2,0,2,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0
592626,Joc Pederson,1B,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,4,0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
669701,Josh Smith,SS,2025-09-02,Arizona Diamondbacks,Texas Rangers,5,5,0,1,0,0,0,0,0,0,1,0,0,0.2,0.2,0.2,0.4
642133,Rowdy Tellez,1B,2025-09-02,Arizona Diamondbacks,Texas Rangers,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
669394,Jake Burger,1B,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
677649,Ezequiel Duran,SS,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,4,0,1,1,0,0,0,0,1,0,0,0,0.25,0.25,0.5,0.75
683227,Cody Freeman,3B,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
680737,Michael Helman,CF,2025-09-03,Arizona Diamondbacks,Texas Rangers,2,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
673962,Josh Jung,3B,2025-09-03,Arizona Diamondbacks,Texas Rangers,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
694671,Wyatt Langford,LF,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
664238,Dylan Moore,2B,2025-09-03,Arizona Diamondbacks,Texas Rangers,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
696030,Alejandro Osuna,LF,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,2,0,1,0,0,0,0,2,0,1,0,0,0.5,0.75,0.5,1.25
592626,Joc Pederson,1B,2025-09-03,Arizona Diamondbacks,Texas Rangers,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
669701,Josh Smith,SS,2025-09-03,Arizona Diamondbacks,Texas Rangers,4,3,0,1,0,0,0,0,1,0,0,0,0,0.333,0.5,0.333,0.833
642133,Rowdy Tellez,1B,2025-09-03,Arizona Diamondbacks,Texas Rangers,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-09-05,Texas Rangers,Houston Astros,5,5,1,1,0,0,1,2,0,3,0,0,0,0.2,0.2,0.8,1.0
677649,Ezequiel Duran,SS,2025-09-05,Texas Rangers,Houston Astros,5,5,0,3,0,0,0,0,0,1,1,0,0,0.6,0.6,0.6,1.2
683227,Cody Freeman,3B,2025-09-05,Texas Rangers,Houston Astros,6,6,1,1,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334
687957,Dustin Harris,LF,2025-09-05,Texas Rangers,Houston Astros,1,1,0,1,1,0,0,1,0,0,0,0,0,1.0,1.0,2.0,3.0
641680,Jonah Heim,C,2025-09-05,Texas Rangers,Houston Astros,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
680737,Michael Helman,CF,2025-09-05,Texas Rangers,Houston Astros,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-09-05,Texas Rangers,Houston Astros,5,4,0,0,0,0,0,0,1,0,0,0,0,0.0,0.2,0.0,0.2
673962,Josh Jung,3B,2025-09-05,Texas Rangers,Houston Astros,5,5,1,1,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4
694671,Wyatt Langford,LF,2025-09-05,Texas Rangers,Houston Astros,6,4,1,2,2,0,0,0,2,0,0,0,0,0.5,0.667,1.0,1.667
664238,Dylan Moore,2B,2025-09-05,Texas Rangers,Houston Astros,2,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
696030,Alejandro Osuna,LF,2025-09-05,Texas Rangers,Houston Astros,3,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.333,0.0,0.333
592626,Joc Pederson,1B,2025-09-05,Texas Rangers,Houston Astros,1,0,0,0,0,0,0,0,1,0,0,0,0,,1.0,,1.0
669701,Josh Smith,SS,2025-09-05,Texas Rangers,Houston Astros,5,4,0,0,0,0,0,0,1,2,0,0,0,0.0,0.2,0.0,0.2
642133,Rowdy Tellez,1B,2025-09-05,Texas Rangers,Houston Astros,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-09-06,Texas Rangers,Houston Astros,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
677649,Ezequiel Duran,SS,2025-09-06,Texas Rangers,Houston Astros,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
687957,Dustin Harris,LF,2025-09-06,Texas Rangers,Houston Astros,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
641680,Jonah Heim,C,2025-09-06,Texas Rangers,Houston Astros,4,3,0,0,0,0,0,0,1,1,0,0,0,0.0,0.25,0.0,0.25
673962,Josh Jung,3B,2025-09-06,Texas Rangers,Houston Astros,4,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
694671,Wyatt Langford,LF,2025-09-06,Texas Rangers,Houston Astros,4,2,0,0,0,0,0,0,2,2,0,0,0,0.0,0.5,0.0,0.5
664238,Dylan Moore,2B,2025-09-06,Texas Rangers,Houston Astros,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
696030,Alejandro Osuna,LF,2025-09-06,Texas Rangers,Houston Astros,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
592626,Joc Pederson,1B,2025-09-06,Texas Rangers,Houston Astros,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
669701,Josh Smith,SS,2025-09-06,Texas Rangers,Houston Astros,4,3,0,1,0,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0.833
669394,Jake Burger,1B,2025-09-07,Texas Rangers,Houston Astros,3,3,1,2,0,0,1,2,0,0,0,0,0,0.667,0.667,1.667,2.334
677649,Ezequiel Duran,SS,2025-09-07,Texas Rangers,Houston Astros,2,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
683227,Cody Freeman,3B,2025-09-07,Texas Rangers,Houston Astros,4,4,1,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
641680,Jonah Heim,C,2025-09-07,Texas Rangers,Houston Astros,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
680737,Michael Helman,CF,2025-09-07,Texas Rangers,Houston Astros,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-09-07,Texas Rangers,Houston Astros,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
673962,Josh Jung,3B,2025-09-07,Texas Rangers,Houston Astros,4,4,1,1,1,0,0,1,0,0,0,0,0,0.25,0.25,0.5,0.75
694671,Wyatt Langford,LF,2025-09-07,Texas Rangers,Houston Astros,4,3,0,0,0,0,0,0,1,2,0,0,0,0.0,0.25,0.0,0.25
