year,team_id,team,W,L,G,RS,RA,home_wp,away_wp,onerun_wp,onerun_n,xi_wp,ERA,WHIP,K9,BB9,SV,SVO,BS,sv_pct,FIP,era_fip_diff,HR9,babip_against,go_ao,ir_pct,SB,CS,sb_pct,LOB,OPS,babip_off,SV_top1,Top1_SV_Ratio
2016,137,San Francisco Giants,87,75,162,715,631,0.5555555555555556,0.5185185185185185,0.509090909090909,55,0.6111111111111112,3.65,1.21,8.07,2.71,43,72,29,0.5972222222222222,3.78,-0.13,0.974,0.29,1.13,0.221,79,36,0.6869565217391305,1188,0.727,0.299,31,0.7209302325581395
2016,115,Colorado Rockies,75,87,162,845,860,0.5185185185185185,0.4074074074074074,0.375,32,0.3333333333333333,4.91,1.45,7.7,3.44,37,65,28,0.5692307692307692,4.4,0.51,1.14,0.321,1.39,0.362,66,39,0.6285714285714286,1089,0.793,0.326,15,0.40540540540540543
2016,109,Arizona Diamondbacks,69,93,162,752,890,0.4074074074074074,0.4444444444444444,0.5641025641025641,39,0.5,5.09,1.49,8.17,3.74,31,53,22,0.5849056603773585,4.528,0.562,1.253,0.323,1.2,0.367,137,31,0.8154761904761905,1113,0.752,0.315,19,0.6129032258064516
2016,135,San Diego Padres,68,94,162,686,770,0.4814814814814814,0.3580246913580246,0.38,50,0.5,4.43,1.38,7.64,3.56,35,53,18,0.660377358490566,4.421,0.009,1.144,0.298,1.11,0.354,125,45,0.7352941176470589,965,0.689,0.291,17,0.4857142857142857
2017,111,Boston Red Sox,93,69,162,785,668,0.5925925925925926,0.5555555555555556,0.5365853658536586,41,0.8333333333333334,3.7,1.25,9.59,2.82,39,58,19,0.6724137931034483,3.789,-0.089,1.184,0.304,0.89,0.29,106,31,0.7737226277372263,1134,0.736,0.3,35,0.8974358974358975
2017,147,New York Yankees,91,71,162,858,660,0.6296296296296297,0.4938271604938271,0.4090909090909091,44,0.4545454545454545,3.72,1.21,9.69,3.13,36,59,23,0.6101694915254238,3.893,-0.173,1.193,0.282,1.09,0.273,90,22,0.8035714285714286,1184,0.786,0.304,22,0.6111111111111112
2017,139,Tampa Bay Rays,80,82,162,694,704,0.5185185185185185,0.4691358024691358,0.4666666666666667,45,0.5714285714285714,3.97,1.26,8.42,3.13,53,75,22,0.7066666666666667,4.179,-0.209,1.202,0.285,0.95,0.274,88,34,0.7213114754098361,1114,0.739,0.296,47,0.8867924528301887
2017,141,Toronto Blue Jays,76,86,162,693,784,0.5185185185185185,0.419753086419753,0.490566037735849,53,0.2631578947368421,4.42,1.37,8.43,3.37,45,72,27,0.625,4.321,0.099,1.247,0.304,1.1,0.267,53,24,0.6883116883116883,1064,0.724,0.276,39,0.8666666666666667
2017,110,Baltimore Orioles,75,87,162,743,841,0.5679012345679012,0.3580246913580246,0.5121951219512195,41,0.75,4.97,1.45,7.7,3.62,35,53,18,0.660377358490566,4.972,-0.002,1.511,0.303,1.07,0.291,32,13,0.7111111111111111,1041,0.747,0.306,18,0.5142857142857142
2017,114,Cleveland Indians,102,60,162,818,564,0.6049382716049383,0.654320987654321,0.5714285714285714,35,0.6666666666666666,3.3,1.16,10.08,2.54,37,47,10,0.7872340425531915,3.339,-0.039,1.019,0.305,1.09,0.286,88,23,0.7927927927927928,1158,0.788,0.295,30,0.8108108108108109
2017,142,Minnesota Twins,85,77,162,815,788,0.5061728395061729,0.5432098765432098,0.4545454545454545,33,0.5,4.59,1.37,7.31,3.03,42,61,19,0.6885245901639344,4.727,-0.137,1.404,0.298,0.93,0.271,95,28,0.7723577235772358,1147,0.768,0.306,29,0.6904761904761905
